UserName,Views,Minutes Delivered,Average Minutes Delivered
1608789,74,610.7862934,8.25386883
1608806,5,22.68803365,4.53760673
1609045,34,156.1025049,4.591250143
1609113,180,1407.308575,7.81838097
1609138,10,61.63479353,6.163479353
1609303,134,1080.689998,8.064850731
1609823,19,125.3700496,6.598423662
1610114,8,43.73138123,5.466422654
1610213,25,180.4105089,7.216420356
1610292,28,168.2103082,6.007511005
1610532,14,50.55363862,3.610974187
1610663,49,286.9273274,5.855659743
1610667,80,590.8721571,7.385901964
1610736,32,239.8646213,7.495769415
1610940,46,295.8720957,6.43200208
1611015,156,1368.841084,8.774622331
1611353,9,63.37104755,7.041227506
1611406,100,765.0233028,7.650233028
1611417,19,92.18539868,4.851863089
1611439,16,70.60824069,4.413015043
1611509,3,6.055331878,2.018443959
1611545,162,1467.032699,9.0557574
1611570,2,0.59374865,0.296874325
1611577,1,0.076140267,0.076140267
1611663,12,87.45,7.2875
1611708,18,113.8638537,6.325769648
1611739,53,432.2342909,8.155363979
1611745,68,505.1138261,7.428144501
1611767,261,2117.878134,8.114475608
1611787,37,218.2032087,5.89738402
1611852,25,186.1935584,7.447742336
1611878,48,433.1352199,9.023650414
1611898,20,147.8322724,7.391613619
1612128,52,397.032472,7.635239845
1612151,5,7.583068493,1.516613699
1612220,70,572.0796483,8.172566404
1612256,221,1576.927119,7.135416827
1612434,56,307.9867454,5.499763311
1612639,76,519.2573545,6.832333611
1612702,14,78.65163037,5.617973598
1612791,80,608.1616864,7.60202108
1612800,44,343.9888441,7.817928274
1612859,282,1802.359758,6.39134666
1613235,80,519.7899258,6.497374073
1613257,21,104.9334561,4.996831242
1613666,56,461.9787998,8.249621425
1613807,23,143.4326373,6.236201622
1613934,37,236.3879167,6.388862613
1614015,94,515.5963201,5.485067235
1614159,5,18.00003737,3.600007473
1614276,24,110.9793989,4.624141619
1614591,11,37.63356402,3.421233092
1614655,2,12.05593433,6.027967167
1614677,33,329.0350523,9.970759161
1614681,1,1.363547667,1.363547667
1614689,74,596.4953126,8.060747467
1614705,29,150.7736563,5.199091598
1614731,140,1144.589497,8.175639267
1614758,4,14.52998245,3.632495613
1614820,54,305.6470641,5.660130817
1614922,12,87.01869132,7.25155761
1614937,5,33.98343047,6.796686093
1615055,76,465.5975203,6.126283162
1615105,25,175.2970241,7.011880964
1615152,148,1220.050258,8.243582826
1615854,38,236.7522602,6.230322638
1615858,18,159.0349569,8.835275382
1615861,92,733.9403549,7.977612553
1616007,80,595.5873937,7.444842421
1616028,43,262.9978352,6.116228726
1616100,31,207.7904502,6.702917749
1616229,29,200.7412343,6.922111528
1616257,28,230.4774958,8.231339135
1616530,88,510.9254041,5.805970501
1616667,63,459.5171712,7.293923353
1616854,47,368.1255404,7.832458305
1616960,11,47.40675535,4.309705032
1617070,21,132.1120996,6.29105236
1617073,13,100.2548746,7.711913429
1617250,152,1016.535052,6.687730607
1617347,48,358.0135996,7.458616659
1617557,52,330.6869078,6.359363611
1617637,62,468.4121956,7.555035413
1617690,7,30.24720528,4.321029326
1617739,106,611.0286017,5.764420771
1617837,19,177.2936071,9.331242476
1617977,10,26.40346746,2.640346746
1618108,45,230.3080956,5.117957681
1618391,145,1060.816743,7.315977537
1618511,65,380.8498466,5.85922841
1618688,27,187.8927835,6.95899198
1618695,68,506.1974403,7.444080004
1618876,26,217.4793883,8.364591858
1618943,84,593.6330876,7.067060566
1618995,23,114.1003508,4.960884819
1619022,9,28.7005075,3.188945278
1619130,46,279.0319245,6.065911403
1619191,81,673.167448,8.310709235
1619248,88,548.832023,6.236727534
1619399,13,89.5853193,6.891178408
1619521,97,605.3471939,6.240692721
1619528,1,3.266666667,3.266666667
1619539,28,152.7468649,5.455245174
1619695,14,85.58090888,6.112922063
1619757,38,289.265572,7.612251895
1619934,134,1049.969501,7.835593291
1620283,44,311.0881778,7.070185859
1620597,44,365.973914,8.317588954
1620713,30,118.5912775,3.953042582
1621328,23,131.9861209,5.738526993
1621373,20,208.7652846,10.43826423
1621403,125,950.5809439,7.604647551
1621686,70,441.8264205,6.311806007
1621753,3,5.727448147,1.909149382
1621952,51,319.4937643,6.264583613
1622004,109,852.7136435,7.823060949
1622005,1,0.106880367,0.106880367
1622184,78,504.2221073,6.464385991
1622717,107,687.7458888,6.427531671
1622723,112,924.3551812,8.253171261
1623048,3,26.8765072,8.958835733
1623056,78,520.4769441,6.672781334
1623176,30,169.3933454,5.646444845
1623355,97,624.9839554,6.443133561
1623358,80,540.5349994,6.756687493
1623368,62,430.8272278,6.948826255
1623565,3,20.46685595,6.822285317
1623852,38,249.3359337,6.561471939
1623863,45,243.1993694,5.404430431
1623989,35,261.8611139,7.48174611
1624050,6,51.9,8.65
1624091,2,17.99802982,8.999014908
1624101,53,343.7834476,6.486480142
1624187,53,327.6386126,6.181860614
1624228,169,1281.333534,7.581855231
1624269,40,278.2684212,6.956710529
1624498,20,77.79318363,3.889659182
1624556,74,629.4805156,8.506493454
1624571,2,1.424379533,0.712189767
1624598,55,244.7369219,4.449762215
1624604,30,210.1921703,7.006405678
1624686,2,9.907785867,4.953892933
1624726,33,237.3674793,7.192953917
1624844,6,36.03332048,6.005553413
1624885,23,189.3618687,8.233124727
1628125,47,400.7512631,8.526622618
1628246,10,55.06477248,5.506477248
1628999,7,26.10756548,3.729652212
1629196,118,822.5807999,6.971023728
1629341,41,306.3632637,7.472274724
1629444,88,516.566875,5.870078124
1629723,64,479.8741126,7.498033009
1629725,121,1077.749406,8.907019884
1629876,16,129.3680309,8.085501929
1629998,46,226.4078173,4.921909072
1630033,88,556.6422303,6.325479889
1630157,14,31.42959042,2.244970744
1630510,80,615.5860534,7.694825667
1630725,18,143.0116194,7.945089966
1631002,81,749.6988485,9.25554134
1631045,33,221.4355956,6.710169564
1631063,46,319.919057,6.954762108
1631082,37,293.0715035,7.920851447
1631265,182,1287.886846,7.076301353
1631408,21,116.9871442,5.57081639
1631444,20,139.1333569,6.956667845
1631758,41,171.8529659,4.191535754
1631926,23,167.5553008,7.28501308
1631963,59,407.8007859,6.911877728
1632156,1,4.17335455,4.17335455
1632198,59,386.558619,6.551841
1632247,30,268.5386798,8.951289327
1632352,30,159.0693344,5.302311146
1632359,10,44.39165825,4.439165825
1632374,73,482.902933,6.615108671
1632385,136,1027.667286,7.5563771
1632572,13,54.1389957,4.164538131
1632573,104,776.9383162,7.470560733
1632587,8,38.72458292,4.840572865
1632630,74,288.3447233,3.896550315
1632915,33,280.051666,8.486414121
1632916,2,8.684463217,4.342231608
1633262,86,432.6682569,5.031026242
1633649,91,425.7418633,4.678482015
1633694,5,50.0631245,10.0126249
1633696,113,737.4922554,6.526480136
1633784,125,970.1157515,7.760926012
1633852,22,107.1684157,4.871291623
1633933,28,188.7010647,6.739323738
1633958,88,615.6649354,6.996192448
1634114,111,611.3873072,5.507993758
1634464,35,172.5775662,4.930787605
1634537,1,0.1701538,0.1701538
1635039,57,301.4311959,5.288266594
1635042,17,86.25979507,5.074105593
1635305,57,490.8046498,8.610607891
1635338,12,101.0736857,8.422807139
1635488,21,120.2698534,5.727135878
1635695,10,4.49015005,0.449015005
1635786,79,601.4090785,7.612773145
1635863,9,47.53559115,5.28173235
1636214,3,17.45,5.816666667
1636296,62,556.3287355,8.973044121
1636464,79,665.0227755,8.418009817
1636475,89,637.7500407,7.165730795
1636496,17,142.7752617,8.398544804
1636500,62,475.9986128,7.67739698
1636763,27,170.3707744,6.310028681
1636973,20,129.1619477,6.458097384
1637212,19,103.2444117,5.433916404
1637408,15,98.74566567,6.583044378
1637545,48,289.2827821,6.026724626
1638583,8,43.16015678,5.395019598
1639063,80,616.3266093,7.704082616
1639306,48,317.7539298,6.619873538
1639782,17,84.54560008,4.973270593
1640163,70,413.6931239,5.90990177
1640703,3,19.35,6.45
1643102,90,556.1019239,6.178910265
1643268,48,297.8837282,6.205911004
1643503,36,324.2962171,9.008228254
1643670,12,77.31869973,6.443224978
1643713,47,315.5666667,6.714184397
1643737,133,959.7161274,7.215910733
1644179,3,24.35,8.116666667
1644237,13,23.88689468,1.837453437
1644273,5,39.55962722,7.911925443
1644320,11,22.45,2.040909091
1644555,10,54.38958832,5.438958832
1644588,133,738.6848499,5.554021428
1644606,15,117.6640772,7.844271816
1644741,31,172.5982241,5.567684648
1644943,124,928.6549661,7.489152953
1644958,17,43.435378,2.555022235
1645154,19,119.3451659,6.28132452
1645202,174,1234.609343,7.095455995
1645278,5,0.63807214,0.127614428
1645289,56,419.0136239,7.482386141
1645294,4,11.605798,2.9014495
1645328,51,234.013749,4.588504882
1645533,3,8.29129485,2.76376495
1645633,171,554.8849562,3.244941264
1645656,81,435.6149571,5.377962433
1645841,34,175.2009097,5.152967933
1646003,5,38.42631317,7.685262633
1646072,15,62.61744465,4.17449631
1647100,24,147.3790011,6.140791711
1647347,99,779.3871947,7.872597926
1647585,3,17.80861773,5.936205911
1648081,107,749.4694544,7.004387424
1649364,45,282.2750882,6.272779739
1649439,37,284.3399759,7.684864212
1650001,108,756.2713145,7.002512171
1650044,12,85.42186128,7.11848844
1650220,17,109.0850812,6.416769483
1650625,20,136.163463,6.808173148
1651439,29,151.8093293,5.234804458
1652736,169,1418.299222,8.392303086
1653222,27,131.7977955,4.881399831
1653288,90,574.4003034,6.382225593
1654109,36,254.667537,7.07409825
1655539,3,2.8660454,0.955348467
1655799,182,1313.627899,7.217735711
1655989,120,930.2856018,7.752380015
1656236,67,486.2332895,7.257213276
1656238,34,268.2983341,7.891127472
1656265,85,545.6757994,6.419715287
1656292,5,38.63720094,7.727440188
1656399,48,304.0260425,6.333875885
1656432,29,204.5271964,7.052661944
1656696,48,351.300238,7.318754958
1656841,29,164.8824177,5.685600611
1656926,42,253.0622111,6.02529074
1656989,83,318.6280088,3.838891672
1657227,94,462.5683765,4.920940176
1659439,62,512.538615,8.266751855
1659456,59,334.1533996,5.663616942
1659746,5,34.67376949,6.934753898
1659781,6,45.98333333,7.663888889
1659915,8,92.41167625,11.55145953
1659990,76,413.6465075,5.442717204
1660113,8,35.43136118,4.428920148
1660598,134,944.9539248,7.051894961
1660608,6,32.19980613,5.366634356
1660819,110,801.6507724,7.287734295
1660947,82,466.5965609,5.690201962
1661346,115,894.2554301,7.776134175
1661599,77,486.1490566,6.313624112
1661680,50,462.3249188,9.246498376
1661940,39,246.5474022,6.321728262
1664185,61,435.6332772,7.141529134
1664732,83,570.1688524,6.869504246
1664800,2,23.91202318,11.95601159
1664885,6,33.36273962,5.560456603
1665507,5,14.73747797,2.947495593
1665599,78,354.9900285,4.551154211
1665609,56,283.0720617,5.054858245
1665733,9,48.4839091,5.387101011
1665909,3,21.86666667,7.288888889
1669086,45,391.3070992,8.695713315
1669131,7,50.44432198,7.206331712
1669772,92,717.1672438,7.795296129
1669887,92,530.2210524,5.763272309
1670369,50,257.5942651,5.151885302
1671642,83,644.090815,7.760130301
1672149,7,33.82258888,4.831798412
1672359,2,12.65525395,6.327626975
1672380,25,68.5533242,2.742132968
1672720,64,315.7509517,4.933608621
1672977,1,1.215085167,1.215085167
1673102,310,2223.150415,7.17145295
1673115,15,88.43837823,5.895891882
1675676,54,469.4702284,8.693893118
1675977,16,120.1472502,7.509203139
1677475,8,32.35922027,4.044902534
1678177,4,9.22452595,2.306131488
1679638,22,180.1932755,8.19060343
1680238,250,2127.560824,8.510243297
1681897,85,634.9818179,7.470374328
1683595,43,339.6123493,7.897961612
1683690,5,33.87469482,6.774938963
1684055,28,206.181055,7.363609105
1684760,70,468.5539446,6.69362778
1684817,45,314.0207784,6.978239519
1684904,102,853.8894077,8.371464781
1684913,42,254.9048655,6.069163463
1685955,10,62.46122932,6.246122932
1686418,20,138.25,6.9125
1687667,86,517.6451938,6.01913016
1688131,4,11.19955397,2.799888492
1688150,88,724.275707,8.230405761
1688582,90,600.3838418,6.670931576
1688772,56,226.7479832,4.049071129
1688940,129,885.4853051,6.864227171
1689017,74,478.3400767,6.464055091
1689447,35,258.5513794,7.387182269
1689454,24,86.14898208,3.58954092
1689484,19,81.430013,4.285790158
1689870,41,55.38203005,1.350781221
1690083,21,195.6119326,9.314853931
1691339,58,349.7715493,6.030543954
1691548,29,195.7709533,6.750722528
1691589,161,1184.52262,7.357283355
1691897,12,52.54598653,4.378832211
1692188,12,95.92778743,7.993982286
1692373,32,208.2551629,6.507973841
1693323,72,581.75,8.079861111
1693487,138,1063.947116,7.709761711
1693702,2,7.695480722,3.847740361
1693751,11,54.6240874,4.965826127
1693774,77,479.4780311,6.226987416
1693999,50,293.1761672,5.863523345
1694170,16,111.8190786,6.988692411
1694384,35,269.9817179,7.713763368
1694405,128,871.7908849,6.810866288
1695174,44,303.5344563,6.89851037
1696134,26,144.3964941,5.55371131
1696636,19,93.03093998,4.896365262
1696842,10,68.44733013,6.844733013
1697274,2,0.713765283,0.356882642
1697474,84,488.848879,5.819629512
1699066,83,696.8564466,8.395860802
1699126,3,14.37688647,4.792295489
1700761,15,95.75343508,6.383562339
1700918,52,400.3117875,7.698303606
1701254,62,357.760669,5.77033337
1703426,88,490.0969799,5.569283863
1705449,75,613.6214388,8.181619184
1705660,27,141.0746149,5.224985737
1705712,50,412.5731422,8.251462843
1705739,17,144.352588,8.491328705
1705824,44,300.3856513,6.82694662
1705890,15,80.91025467,5.394016978
1706542,148,508.1317169,3.433322411
1706832,50,382.1363943,7.642727886
1706839,192,948.7169268,4.941233994
1706880,158,1353.889594,8.568921484
1707049,103,900.4004876,8.741752306
1707061,36,216.0455622,6.001265617
1707299,101,666.9087497,6.603056928
1707598,83,655.2187375,7.894201657
1707960,12,54.74241607,4.561868006
1708316,64,384.4748991,6.007420298
1708786,9,34.56518658,3.840576287
