1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,FY_Marks
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.996147504,0.795107477,0.296622052,0.953751069,0.847583513,0,0,0,0,0,0,0,0,0,0,0.609055811,0,0,0.673069228,0,0,0.536594962,0.864051749,0.775530614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
0,0,0.379008006,0.881342,0.215745866,0.361997182,0.846362368,0,1.462596867,0,0.090057015,0,0,0.05547265,0.109232064,0.579227703,0,0,0.975005303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.049888822,0,0.939226364,0,0.935081916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.993993171,0.999239596,1.36860639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.030763796,0,91
0.982282041,0,0,0.433333333,0,0,0,0.92912361,0,1.000556598,0.998036035,1.2007132,1.096459834,1.28292431,1.058454248,1.144643085,1.03783668,1.251870706,2.003273137,0.887512302,1.284815153,1.148059149,1.003474359,1.998233796,0.999611363,1.698821004,0.741563435,1.180840962,1.077030048,1.026593635,0,0,0,0,1.002127451,1.222511515,1.000006952,1.082518884,1.143353711,1.061156936,1.802251088,1.307437562,1.038982775,1.002122325,0.997476437,1.626946588,1.003363677,1.273972389,1.025709689,1.164123889,1.928877293,1.108105479,1.555948671,0,0,0.998154561,1.061451767,0,0,0,0,0.935591503,0.089216441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40829193,63
0.246002553,0,0,0.698761277,0.141251008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.993991054,2.002242507,1.848730829,1.005534254,1.483032529,0.999348148,0.998183333,0.999713675,1.000378862,1.001503115,0.998372642,0.999677472,1.000113567,1.002092199,1.001467038,1.000279063,1.001075397,1.000162011,0.998938272,0.997499099,0.999131148,1.003948029,0,75
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153729165,0,0,0,0,0,0,0.545831441,0,0,0.71343432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.498031823,0.729391307,0.251391217,1.004346859,0,0,0,0,0,0.165228975,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200582389,0.98857029,0,0,0,0,0,0,0,79
1.075403105,1.000461042,0.940306392,0.996666667,1.023264944,2.001168994,1.00069735,0,0,0,0,0,0,0,0,0.00625,0,0.005473454,0,0,0,0,0,0,0,0,0,0,0.307435174,0,0,0,0,0,0,0,0,0,0,0,0,0,0.376328131,0.198754727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
1.755345763,2.530261724,2.131011778,2.169949473,1.977964724,1.971053428,2.155160525,0.581458219,3.729987919,1.001088311,2.284655591,3.422581835,2.313811548,3.19555976,1.640897476,1.900776015,1.601591283,1.503082244,2.00542146,2.06368379,2.511854926,2.064757561,2.619601192,0.998258838,2.037294782,2.240702056,2.029576967,1.09059143,1.052429558,0.978538306,1.085026655,1.070757707,0.730853758,1.113277677,1.000601966,0.993560005,0.999482933,0.92550576,0.982633152,1.001380614,1.098280453,1.098811891,0.9988731,2.00082982,3.419730571,2.292179412,2.728632374,4.075649653,3.261644366,3.852037881,1.881552378,2.983840822,1.943186644,3.230989072,4.006769891,2.981469416,3.080843011,1.034841941,1.215811565,1.015215755,1.001174537,1.043660237,1.089109889,0.992581919,1.024295672,0.969689509,1.055581316,0.994972082,0.995708209,1.020429171,1.005244698,1.018308121,1.094851412,1.08793457,1.992651315,0.994437499,0.842905085,1.110596656,1.094888106,1.006338775,57
0,0,0,0,0,0,0,0,0,0,0,1.029974187,1.024972525,0.695146149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.959023088,0,0,0.99692703,0.01686848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
0,0.829965316,0,0.27272326,0,0,0,0,0,0,0,0,0,0.024593871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83
